Component#1,inchi#1,Smiles#1,H#1,T#1,Component#2,inchi#2,Smiles#2,H#2,T#2,T_EP,X#1,Phase_diagram
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,416.7,0.332,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,415.5,0.333,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,383.6,0.399,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,382.9,0.4,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,340.8,0.499,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,341.5,0.499,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,313.6,0.592,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,313.3,0.594,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,323.6,0.698,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,338.9,0.802,Yes
